Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LUMA_Project_Suite,Chrome 131.0.0.0,,,14-01-2025 16:44:29,14-01-2025 16:51:53,7m - 23.971s,FAILED
,,,,,,,
Test Cases/Secnario_1,Chrome 131.0.0.0,,,14-01-2025 16:44:29,14-01-2025 16:45:03,34.402s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 16:44:29,14-01-2025 16:44:34,4.658s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 131.0.0.0,,,14-01-2025 16:44:34,14-01-2025 16:44:44,9.925s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Home Page/a_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:44,14-01-2025 16:44:47,2.681s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Home Page/a_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 16:44:47,14-01-2025 16:44:50,3.603s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:50,14-01-2025 16:44:51,0.463s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), ""Test2"")",Chrome 131.0.0.0,,,14-01-2025 16:44:51,14-01-2025 16:44:52,0.972s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:52,14-01-2025 16:44:52,0.328s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), ""Automation"")",Chrome 131.0.0.0,,,14-01-2025 16:44:52,14-01-2025 16:44:53,0.905s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Email_email""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:53,14-01-2025 16:44:53,0.319s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Email_email""), ""ta2@gmail.com"")",Chrome 131.0.0.0,,,14-01-2025 16:44:53,14-01-2025 16:44:54,0.835s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Password_password""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:54,14-01-2025 16:44:54,0.430s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Password_password""), ""yqfjH8zfO6UK8xlauzgBVA=="")",Chrome 131.0.0.0,,,14-01-2025 16:44:54,14-01-2025 16:44:55,0.715s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), 0)",Chrome 131.0.0.0,,,14-01-2025 16:44:55,14-01-2025 16:44:56,0.439s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), ""yqfjH8zfO6UK8xlauzgBVA=="")",Chrome 131.0.0.0,,,14-01-2025 16:44:56,14-01-2025 16:44:56,0.617s,PASSED
